Last Name,First Name,Type,MAIN QUEST NPC,SIDE QUEST NPC,Lifestyle,House Name,Faction,Occupation,Age,Bar Disposition,Party Disposition
,Ahmaergo,Citizen,1,0,Wealthy,Unaffiliated,Xanathar's Guild,Majordomo,46,-99,-99
,Avi,Citizen,0,1,Modest,Unaffiliated,Steam and Steel,Armorer,33,92,100
,Azrok,Citizen,1,0,Wealthy,Unaffiliated,Independent,Hobgoblin Warlord,43,0,12
,Benethan,Citizen,0,0,Modest,Unaffiliated,Golden Horn,F&B Director,63,-73,-63
Havershamble,Bumble,Citizen,0,1,Modest,Unaffiliated,Independent,Metalsmith,20,30,29
,Durnan,Citizen,0,0,Wealthy,Unaffiliated,Independent,Proprietor of the Yawning Portal,50,39,43
,Embric,Citizen,0,1,Modest,Unaffiliated,Steam and Steel,Armorer,29,49,29
,Grubach,Citizen,0,1,Modest,Unaffiliated,Dungsweepers' Guild,Guild Member,69,-10,-9
,Jenks,Citizen,0,1,Modest,Unaffiliated,Irregulars,Urchin,69,77,64
,Kelso,Citizen,0,0,Modest,Unaffiliated,Carpenters' Guild Foreman,Guild Member,53,-66,-82
,Krentz,Citizen,1,0,Comfortable,Unaffiliated,Xanathar's Guild,Thug,59,-37,-43
,Lif,Citizen,0,1,Modest,Unaffiliated,Trollskull,Poltergeist Barkeep,58,84,84
,Lurkana,Citizen,1,0,Wealthy,Unaffiliated,Independent,Hobgoblin Commander,65,14,-4
,Maeve,Citizen,0,1,Comfortable,Unaffiliated,Independent,Bartender at Skewered Dragon,60,14,14
,Nat,Citizen,0,1,Modest,Unaffiliated,Irregulars,Urchin,63,65,58
,Nihiloor,Citizen,1,0,Wealthy,Unaffiliated,Independent,Mind Flayer,23,-74,-92
,Spider,Citizen,0,1,Modest,Unaffiliated,Independent,Warforged Bouncer,26,37,28
,Squidly,Citizen,0,1,Modest,Unaffiliated,Irregulars,Urchin,48,94,94
,Threestrings,Citizen,0,1,Modest,Unaffiliated,Harpers,Bard /  Agent,31,48,34
,Valetta,Citizen,0,0,Modest,Unaffiliated,Independent,Priest of Gond,55,-15,-9
,Wembley,Citizen,0,1,Modest,Unaffiliated,Independent,Bodyguard to Sockley,28,65,75
,Xander,Citizen,0,1,Modest,Unaffiliated,Independent,Hunter/Tracker,24,55,45
,Xoblob,Citizen,0,0,Modest,Unaffiliated,The Old Xoblob Shop,Shopkeeper,67,-14,5
